Address,Bathrooms,Category,District,Externalreference,Floor,Floor_int,Has_Lift,Has_Parking,Id,Inputs,Is_Ext,Is_New,Keeps,Latitude,Longitude,Municipality,Neighborhood,Operation,Outputs,Price,Price_Diff,Price_Diff_pc,Price_Distr,Price_Down,Price_Keep,Price_Neighb,Price_Old,Price_Up,Price_m2,Price_m2_Distr,Price_m2_Distr_Diff_pc,Price_m2_Neighb,Price_m2_Neighb_Diff_pc,Province,Rooms,Size,Size_Interval,Status,Sub_Type,Subtitle,Title,Total,Type,Url,Fecha
barrio Palomeras sureste,1.00,Fl55Ex1bLf,Puente de Vallecas,V-VALL-2020,2,alt,True,False,90169159,0,True,False,1,40.383998,-3.6416497999999997,Madrid,Palomeras sureste,sale,0,85000.00,0,0.00,90000.00,0,1,75000.00,85000.00,0,1417.00,1659.00,-14.60,1919.00,-26.20,Madrid,2.00,60.00,"(50, 60]",good,flat,"Palomeras sureste, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90169159/"", ""https://www.idealista.com/inmueble/90169159/"")",2021-01-18
Camino de Valderribas,1.00,Fl55Ex1b,Puente de Vallecas,0,en,alt,False,False,92263627,1,True,False,0,40.3938141,-3.6564456,Madrid,Numancia,sale,0,99000.00,0,0.00,90000.00,0,1,92500.00,0.00,0,1650.00,1659.00,-0.50,1682.50,-1.90,Madrid,2.00,60.00,"(50, 60]",good,flat,"Numancia, Madrid",Piso en Camino de Valderribas,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92263627/"", ""https://www.idealista.com/inmueble/92263627/"")",2021-01-18
Calle Moncada,1.00,Fl65Ex1b,Villaverde,BFOP-V24,5,alt,False,False,90522169,0,True,False,1,40.3435322,-3.6932926,Madrid,San Cristobal,sale,0,99000.00,0,0.00,88750.00,0,1,84900.00,99000.00,0,1571.00,1428.00,10.00,1286.00,22.20,Madrid,3.00,63.00,"(60, 70]",good,flat,"San Cristobal, Madrid",Piso en Calle Moncada,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90522169/"", ""https://www.idealista.com/inmueble/90522169/"")",2021-01-18
Calle Joyeria,1.00,Fl45Ex1bBj,San Blas,24274,bj,bj,False,False,89982978,0,True,False,1,40.4260944,-3.622605,Madrid,Amposta,sale,0,96900.00,0,0.00,95000.00,0,1,90000.00,96900.00,0,2153.00,1827.00,17.80,1800.00,19.60,Madrid,2.00,45.00,"(40, 50]",good,flat,"Amposta, Madrid",Piso en Calle Joyeria,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/89982978/"", ""https://www.idealista.com/inmueble/89982978/"")",2021-01-18
Calle Orfebreria,1.00,Fl55Ex1b,San Blas,36715,1,alt,False,False,90602014,0,True,False,1,40.4259641,-3.6252819,Madrid,Amposta,sale,0,99900.00,0,0.00,95000.00,0,1,90000.00,99900.00,0,1816.00,1827.00,-0.60,1800.00,0.90,Madrid,2.00,55.00,"(50, 60]",good,flat,"Amposta, Madrid",Piso en Calle Orfebreria,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90602014/"", ""https://www.idealista.com/inmueble/90602014/"")",2021-01-18
Calle Pont de Molins,1.00,Fl45Ex1bBj,Puente de Vallecas,143-PONTS,bj,bj,False,False,91679731,0,True,False,1,40.3938155,-3.6438704,Madrid,Portazgo,sale,0,99000.00,0,0.00,90000.00,0,1,99000.00,99000.00,0,1980.00,1659.00,19.30,1860.00,6.50,Madrid,2.00,50.00,"(40, 50]",good,flat,"Portazgo, Madrid",Piso en Calle Pont de Molins,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91679731/"", ""https://www.idealista.com/inmueble/91679731/"")",2021-01-18
Calle Sagrados Corazones,1.00,Fl45Ex1bLfBj,Latina,Rebe/SagradosCorazones,bj,bj,True,False,92104454,0,True,False,1,40.4075676,-3.7392095,Madrid,Puerta del Angel,sale,0,95000.00,0,0.00,95000.00,0,1,95500.00,95000.00,0,2111.00,1907.00,10.70,2187.00,-3.50,Madrid,1.00,45.00,"(40, 50]",good,flat,"Puerta del Angel, Madrid",Piso en Calle Sagrados Corazones,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92104454/"", ""https://www.idealista.com/inmueble/92104454/"")",2021-01-18
Calle Laviana,1.00,Fl45Ex1bLfBj,San Blas,ID5131120,bj,bj,True,False,91780560,0,True,False,1,40.4303338,-3.6315026,Madrid,Simancas,sale,0,89900.00,0,0.00,95000.00,0,1,89900.00,89900.00,0,2140.00,1827.00,17.10,2140.00,0.00,Madrid,1.00,42.00,"(40, 50]",good,flat,"Simancas, Madrid",Piso en Calle Laviana,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91780560/"", ""https://www.idealista.com/inmueble/91780560/"")",2021-01-18
Calle de Rascon,1.00,Fl35Ex1bBj,Carabanchel,V-CARMEN-068,bj,bj,False,False,92293299,0,True,False,1,40.3935134,-3.7270259,Madrid,San Isidro,sale,0,85000.00,0,0.00,95000.00,0,1,90000.00,85000.00,0,2297.00,1778.00,29.20,2052.50,11.90,Madrid,1.00,37.00,"(30, 40]",good,flat,"San Isidro, Madrid",Piso en Calle de Rascon,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92293299/"", ""https://www.idealista.com/inmueble/92293299/"")",2021-01-18
barrio Berruguete,1.00,Fl25In1b,Tetuan,VI-000-020-715-437,0,alt,False,False,86240135,0,False,False,1,40.4581979,-3.7073938,Madrid,Berruguete,sale,0,89500.00,0,0.00,91200.00,0,1,89500.00,89500.00,0,3442.00,3030.00,13.60,3145.00,9.40,Madrid,1.00,26.00,"(20, 30]",good,flat,"Berruguete, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/86240135/"", ""https://www.idealista.com/inmueble/86240135/"")",2021-01-18
ENCARNACION DEL PINO,1.00,Fl55Ex1bBj,Villaverde,4249,bj,bj,False,False,92149101,0,True,False,1,40.3446046,-3.7155664,Madrid,San Andres,sale,0,99000.00,0,0.00,88750.00,0,1,89950.00,99000.00,0,1650.00,1428.00,15.50,1458.00,13.20,Madrid,2.00,60.00,"(50, 60]",good,flat,"San Andres, Madrid",Piso en ENCARNACION DEL PINO,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92149101/"", ""https://www.idealista.com/inmueble/92149101/"")",2021-01-18
Calle Piedrahita,1.00,Fl35Ex1bBj,Carabanchel,piedrahita,bj,bj,False,False,91962755,0,True,False,1,40.3763634,-3.7432267,Madrid,Puerta Bonita,sale,0,96000.00,0,0.00,95000.00,0,1,96000.00,96000.00,0,2909.00,1778.00,63.60,1782.00,63.20,Madrid,1.00,33.00,"(30, 40]",good,flat,"Puerta Bonita, Madrid",Piso en Calle Piedrahita,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91962755/"", ""https://www.idealista.com/inmueble/91962755/"")",2021-01-18
Calle Isabel Ana,1.00,Fl45Ex1b,Carabanchel,RP107202178819,0,alt,False,False,92385368,1,True,False,0,40.3939836,-3.7272791,Madrid,San Isidro,sale,0,90000.00,0,0.00,95000.00,0,1,90000.00,0.00,0,2000.00,1778.00,12.50,2052.50,-2.60,Madrid,2.00,45.00,"(40, 50]",good,flat,"San Isidro, Madrid",Piso en Calle Isabel Ana,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92385368/"", ""https://www.idealista.com/inmueble/92385368/"")",2021-01-18
