Zone,Type,Is_New,Is_Ext,Has_Lift,Has_Parking,Bathrooms,Size_Interval,Floor,Offers,Price_m2_med,Price_m2_mean,Price_med,Price_mean,Rooms_med,Year,Month,Week,Category,Zone_Catg
Buena Vista,flat,False,True,False,False,1,"(60, 70]",int,2,1519,1519,94950,94950,2.00,2021,M01,W02,fe65b1,Buena Vista fe65b1
Buena Vista,flat,False,True,False,False,1,"(50, 60]",int,2,1579,1579,92250,92250,2.50,2021,M01,W02,fe55b1,Buena Vista fe55b1
Buena Vista,flat,False,True,False,False,1,"(50, 60]",bj,2,1665,1665,92999,92999,1.00,2021,M01,W02,fe55b1bj,Buena Vista fe55b1bj
Buena Vista,flat,False,True,False,False,1,"(20, 30]",bj,2,3312,3312,82800,82800,1.00,2021,M01,W02,fe25b1bj,Buena Vista fe25b1bj
Buena Vista,flat,False,False,False,False,1,"(20, 30]",bj,2,3189,3189,82800,82800,1.00,2021,M01,W02,f25b1bj,Buena Vista f25b1bj
Simancas,flat,False,True,False,False,1,"(50, 60]",int,2,1841,1841,97500,97500,2.00,2021,M01,W02,fe55b1,Simancas fe55b1
Vista Alegre,flat,False,True,False,False,1,"(40, 50]",bj,2,1732,1732,79500,79500,1.50,2021,M01,W02,fe45b1bj,Vista Alegre fe45b1bj
Casco Historico de Vallecas,flat,False,True,False,False,1,"(40, 50]",bj,2,1988,1988,97450,97450,2.00,2021,M01,W02,fe45b1bj,Casco Historico de Vallecas fe45b1bj
Abrantes,flat,False,False,False,False,1,"(40, 50]",int,2,2103,2103,97445,97445,1.50,2021,M01,W02,f45b1,Abrantes f45b1
Aluche,flat,False,True,False,False,1,"(60, 70]",int,2,1345,1345,89950,89950,2.50,2021,M01,W02,fe65b1,Aluche fe65b1
San Diego,flat,False,True,False,False,1,"(70, 80]",bj,2,1226,1226,89500,89500,3.00,2021,M01,W02,fe75b1bj,San Diego fe75b1bj
Zofio,flat,False,True,False,False,1,"(50, 60]",bj,2,1562,1562,87500,87500,2.00,2021,M01,W02,fe55b1bj,Zofio fe55b1bj
San Diego,flat,False,True,False,False,1,"(50, 60]",bj,2,1494,1494,80450,80450,2.50,2021,M01,W02,fe55b1bj,San Diego fe55b1bj
Abrantes,flat,False,True,False,False,1,"(40, 50]",int,2,2211,2211,99500,99500,1.00,2021,M01,W02,fe45b1,Abrantes fe45b1
San Diego,flat,False,True,False,False,1,"(30, 40]",int,2,2418,2418,91750,91750,1.50,2021,M01,W02,fe35b1,San Diego fe35b1
Abrantes,flat,False,True,False,False,1,"(50, 60]",int,2,1696,1696,97400,97400,2.50,2021,M01,W02,fe55b1,Abrantes fe55b1
Vista Alegre,flat,False,False,False,False,1,"(60, 70]",int,1,1202,1202,79358,79358,2.00,2021,M01,W02,f65b1,Vista Alegre f65b1
Vista Alegre,flat,False,True,True,False,1,"(40, 50]",bj,1,2200,2200,99000,99000,1.00,2021,M01,W02,"flat_False_True_True_False_1_(40, 50]_bj","Vista Alegre flat_False_True_True_False_1_(40, 50]_bj"
Vista Alegre,flat,False,True,False,False,1,"(30, 40]",bj,1,2378,2378,88000,88000,1.00,2021,M01,W02,fe35b1bj,Vista Alegre fe35b1bj
Puerta del Angel,flat,False,True,False,False,1,"(40, 50]",bj,1,1500,1500,75000,75000,2.00,2021,M01,W02,fe45b1bj,Puerta del Angel fe45b1bj
Valdezarza,flat,False,True,False,False,1,"(30, 40]",int,1,2543,2543,89000,89000,1.00,2021,M01,W02,fe35b1,Valdezarza fe35b1
Valdezarza,flat,False,True,True,False,1,"(50, 60]",bj,1,1364,1364,75000,75000,2.00,2021,M01,W02,"flat_False_True_True_False_1_(50, 60]_bj","Valdezarza flat_False_True_True_False_1_(50, 60]_bj"
Puerta Bonita,flat,False,True,False,False,1,"(60, 70]",bj,1,1508,1508,98000,98000,2.00,2021,M01,W02,fe65b1bj,Puerta Bonita fe65b1bj
Vista Alegre,flat,False,False,False,False,1,"(40, 50]",bj,1,2200,2200,99000,99000,1.00,2021,M01,W02,f45b1bj,Vista Alegre f45b1bj
Ventas,flat,False,True,False,False,1,"(20, 30]",bj,1,3300,3300,99000,99000,0.00,2021,M01,W02,fe25b1bj,Ventas fe25b1bj
Vista Alegre,flat,False,False,False,False,1,"(30, 40]",bj,1,2854,2854,99900,99900,1.00,2021,M01,W02,f35b1bj,Vista Alegre f35b1bj
Puerta del Angel,flat,False,True,False,False,1,"(30, 40]",bj,1,2179,2179,85000,85000,1.00,2021,M01,W02,fe35b1bj,Puerta del Angel fe35b1bj
Puerta Bonita,flat,False,True,False,False,1,"(90, 100]",int,1,900,900,90000,90000,3.00,2021,M01,W02,"flat_False_True_False_False_1_(90, 100]_int","Puerta Bonita flat_False_True_False_False_1_(90, 100]_int"
Puerta del Angel,flat,False,True,True,False,1,"(40, 50]",bj,1,2111,2111,95000,95000,1.00,2021,M01,W02,"flat_False_True_True_False_1_(40, 50]_bj","Puerta del Angel flat_False_True_True_False_1_(40, 50]_bj"
Puerta del Angel,flat,False,False,False,False,1,"(70, 80]",bj,1,1199,1199,87500,87500,3.00,2021,M01,W02,f75b1bj,Puerta del Angel f75b1bj
Puerta del Angel,flat,False,False,False,False,1,"(20, 30]",bj,1,3333,3333,100000,100000,1.00,2021,M01,W02,f25b1bj,Puerta del Angel f25b1bj
Ventas,flat,False,False,True,False,1,"(20, 30]",bj,1,2467,2467,74000,74000,1.00,2021,M01,W02,"flat_False_False_True_False_1_(20, 30]_bj","Ventas flat_False_False_True_False_1_(20, 30]_bj"
Puerta del Angel,flat,False,False,False,False,1,"(30, 40]",int,1,3063,3063,98000,98000,2.00,2021,M01,W02,f35b1,Puerta del Angel f35b1
Ventas,flat,False,False,False,False,1,"(20, 30]",int,1,3600,3600,90000,90000,1.00,2021,M01,W02,f25b1,Ventas f25b1
Ventas,flat,False,True,False,False,1,"(40, 50]",bj,1,1771,1771,85000,85000,0.00,2021,M01,W02,fe45b1bj,Ventas fe45b1bj
Ventilla-Almenara,flat,False,False,False,False,1,"(40, 50]",int,1,2439,2439,99995,99995,2.00,2021,M01,W02,f45b1,Ventilla-Almenara f45b1
San Diego,flat,False,True,False,False,1,"(20, 30]",bj,1,3545,3545,78000,78000,1.00,2021,M01,W02,fe25b1bj,San Diego fe25b1bj
Puerta Bonita,flat,False,True,False,False,1,"(30, 40]",bj,1,2909,2909,96000,96000,1.00,2021,M01,W02,fe35b1bj,Puerta Bonita fe35b1bj
Puerta Bonita,flat,False,True,False,False,1,"(50, 60]",bj,1,1904,1904,99000,99000,2.00,2021,M01,W02,fe55b1bj,Puerta Bonita fe55b1bj
Portazgo,flat,False,False,True,False,1,"(50, 60]",int,1,1923,1923,100000,100000,2.00,2021,M01,W02,"flat_False_False_True_False_1_(50, 60]_int","Portazgo flat_False_False_True_False_1_(50, 60]_int"
Portazgo,flat,False,False,False,False,1,"(60, 70]",bj,1,1623,1623,99000,99000,2.00,2021,M01,W02,f65b1bj,Portazgo f65b1bj
Portazgo,flat,False,True,False,False,1,"(50, 60]",int,1,1763,1763,89900,89900,3.00,2021,M01,W02,fe55b1,Portazgo fe55b1
Zofio,flat,False,True,False,False,1,"(50, 60]",int,1,1350,1350,81000,81000,3.00,2021,M01,W02,fe55b1,Zofio fe55b1
Portazgo,flat,False,True,True,False,1,"(60, 70]",int,1,1441,1441,98000,98000,2.00,2021,M01,W02,fe65b1lf,Portazgo fe65b1lf
Zofio,flat,False,True,False,False,1,"(40, 50]",int,1,2000,2000,100000,100000,2.00,2021,M01,W02,fe45b1,Zofio fe45b1
Zofio,flat,False,True,False,False,1,"(40, 50]",bj,1,1605,1605,69000,69000,1.00,2021,M01,W02,fe45b1bj,Zofio fe45b1bj
Portazgo,flat,False,True,False,False,1,"(60, 70]",int,1,1212,1212,80000,80000,2.00,2021,M01,W02,fe65b1,Portazgo fe65b1
Pradolongo,flat,False,True,False,False,1,"(40, 50]",bj,1,2045,2045,90000,90000,2.00,2021,M01,W02,fe45b1bj,Pradolongo fe45b1bj
Pradolongo,flat,False,True,False,False,1,"(40, 50]",int,1,2302,2302,99000,99000,2.00,2021,M01,W02,fe45b1,Pradolongo fe45b1
Zofio,flat,False,True,True,False,1,"(60, 70]",bj,1,1474,1474,89900,89900,1.00,2021,M01,W02,"flat_False_True_True_False_1_(60, 70]_bj","Zofio flat_False_True_True_False_1_(60, 70]_bj"
Zofio,flat,False,False,False,False,1,"(50, 60]",int,1,1768,1768,99000,99000,2.00,2021,M01,W02,f55b1,Zofio f55b1
