Titulo,Segmento,Etiqueta,Periodo,Anyo,Valor,Unidad,Escala,Importe de hipotecas,Numero de hipotecas,Importe Medio
Compraventa,Estado de la vivienda,Vivienda nueva,M11,2019,1206,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M10,2019,1662,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M09,2019,1149,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M08,2019,1015,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M07,2019,1453,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M06,2019,1251,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M05,2019,1290,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M04,2019,1338,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M03,2019,1647,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M02,2019,1964,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M01,2019,1632,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M12,2018,1175,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M11,2018,1610,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M10,2018,1476,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M09,2018,1609,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M08,2018,1448,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M07,2018,1506,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M06,2018,1349,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M05,2018,1485,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M04,2018,1404,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M03,2018,1163,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M02,2018,1364,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M01,2018,1399,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M12,2017,969,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M11,2017,1238,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M10,2017,1670,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M09,2017,1485,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M08,2017,1138,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M07,2017,1328,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M06,2017,1706,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M05,2017,1371,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M04,2017,1151,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M03,2017,1265,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M02,2017,1124,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M01,2017,1230,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M12,2016,1031,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M11,2016,948,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M10,2016,828,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M09,2016,1146,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M08,2016,885,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M07,2016,1232,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M06,2016,1212,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M05,2016,1105,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M04,2016,1275,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M03,2016,1236,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M02,2016,1458,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M01,2016,1153,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M12,2015,879,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M11,2015,858,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M10,2015,860,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M09,2015,978,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M08,2015,917,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M07,2015,941,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M06,2015,1009,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M05,2015,788,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M04,2015,952,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M03,2015,978,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M02,2015,1545,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M01,2015,1707,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M12,2014,892,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M11,2014,918,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M10,2014,1242,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M09,2014,1125,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M08,2014,1130,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M07,2014,1440,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M06,2014,1543,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M05,2014,1226,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M04,2014,1245,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M03,2014,1680,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M02,2014,1726,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M01,2014,2993,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M12,2013,3077,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M11,2013,960,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M10,2013,1008,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M09,2013,981,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M08,2013,964,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M07,2013,1243,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M06,2013,1045,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M05,2013,1722,Vivienda,Unidad,0,0,0
